"","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","density","pH","sulphates","alcohol","Quality"
"533",0.38,0.49,2.7,0.098,12,1.0004,3.16,0.61,10.3,"B"
"534",0.27,0.24,2.1,0.072,15,0.9956,3.22,0.66,12.8,"G"
"535",0.48,0.24,2.7,0.102,13,1,3.28,0.56,10,"G"
"536",0.22,0.24,2.1,0.078,1,0.999,3.41,0.87,10.3,"G"
"537",0.63,0.24,2.4,0.077,6,0.9974,3.09,0.57,9.4,"B"
"538",0.825,0.24,2.1,0.084,5,0.9972,3.37,0.77,10.7,"G"
"539",0.35,0.49,5.8,0.066,5,1.0014,3.2,0.66,12,"G"
"540",0.5,0.74,5.15,0.1,5,0.9996,3.22,0.62,11.2,"B"
"541",0.59,0.24,3.3,0.101,20,0.9988,3.26,0.67,9.6,"B"
"542",0.46,0.49,6.3,0.064,5,0.9988,3.21,0.73,11,"G"
"543",0.715,0.24,2.1,0.07,5,0.9966,3.12,0.59,9.9,"B"
"544",0.66,0.24,2.5,0.085,16,0.9993,3.06,0.72,11,"G"
"545",0.31,0.74,1.8,0.075,6,1.0008,2.86,0.79,8.4,"G"
"546",0.47,0.49,2.6,0.094,38,0.9982,3.08,0.59,9.1,"B"
"547",0.55,0.24,2,0.078,10,0.9983,3.45,0.78,9.5,"G"
"548",0.31,0.49,2.5,0.067,6,0.9987,3.26,0.86,10.7,"G"
"549",0.35,0.49,2.6,0.079,27,0.9994,3.12,0.75,10.4,"G"
"550",0.53,0.49,1.9,0.171,6,0.9975,3.27,0.61,9.4,"G"
"551",0.51,0.01,2.1,0.074,9,0.9958,3.33,0.56,9.5,"G"
"552",0.43,0.24,2.8,0.092,14,0.998,3.19,0.73,10,"G"
"553",0.46,0.24,2.7,0.092,14,0.998,3.12,0.74,10,"G"
"554",1.04,0.24,1.6,0.05,32,0.9934,3.74,0.62,11.5,"B"
"555",0.645,0.49,4.2,0.095,10,1.00315,2.92,0.74,11.1,"B"
"556",0.645,0.49,4.2,0.095,10,1.00315,2.92,0.74,11.1,"B"
"557",0.53,0.49,4.6,0.118,10,1.0002,3.07,0.56,11.7,"G"
"558",0.645,0.49,4.2,0.095,10,1.00315,2.92,0.74,11.1,"B"
"559",0.53,0.49,4.6,0.118,10,1.0002,3.07,0.56,11.7,"G"
"560",0.47,0.49,4.3,0.085,6,1.0021,3.3,0.68,12.7,"G"
"561",0.6,0.49,2.8,0.075,5,0.9994,3.14,0.57,11.4,"B"
"562",0.44,0.49,2.4,0.078,26,0.9978,3.23,0.58,9.2,"B"
"563",0.54,0.49,2.9,0.094,41,0.9982,3.08,0.61,9.2,"B"
"564",0.29,0.49,2.7,0.092,25,0.9971,3.31,0.61,10.1,"G"
"565",0.47,0.49,4.3,0.085,6,1.0021,3.3,0.68,12.7,"G"
"566",0.6,0.49,2.8,0.075,5,0.9994,3.14,0.57,11.4,"B"
"567",0.7,0.24,2.5,0.226,5,0.9991,3.32,0.6,9,"G"
"568",0.7,0.24,2.5,0.226,5,0.9991,3.32,0.6,9,"G"
"569",0.5,0.49,2.6,0.25,5,0.999,3.31,0.79,10.7,"G"
"570",0.36,0.24,2.2,0.095,19,0.9946,3.57,0.57,11.7,"G"
"571",0.35,0.49,3.3,0.07,10,1.0003,3.32,0.91,11,"G"
"572",0.36,0.24,2.2,0.095,19,0.9946,3.57,0.57,11.7,"G"
"573",0.24,0.49,2.4,0.075,10,0.9978,3.14,0.61,10.4,"B"
"574",0.59,0.49,2.1,0.07,14,0.9991,3.3,0.56,9.6,"B"
"575",0.34,0.49,3.2,0.078,20,0.9992,3.19,0.7,10,"G"
"576",0.27,0.49,3.1,0.079,28,0.9993,3.2,0.8,10.2,"G"
"577",0.5,0.24,2.3,0.103,6,0.9978,3.34,0.52,10,"B"
"578",0.44,0.49,2.8,0.083,18,0.9982,3.3,0.6,9.5,"B"
"579",0.47,0.49,2.9,0.085,17,0.9982,3.29,0.6,9.8,"B"
"580",0.31,0.49,2.2,0.063,18,0.9976,3.14,0.51,9.8,"G"
"581",0.5,0.49,2.2,0.089,5,1.0002,3.19,0.44,9.6,"B"
"582",0.5,0.49,2.2,0.089,5,1.0002,3.19,0.44,9.6,"B"
"583",0.49,0.49,2.2,0.083,5,1,3.19,0.43,9.2,"B"
"584",0.28,0.49,1.9,0.074,10,0.9976,2.98,0.66,9.9,"G"
"585",0.33,0.49,3.4,0.093,54,1.0002,3.3,0.76,10.7,"G"
"586",0.51,0.24,2.4,0.091,8,0.998,3.47,0.66,9.6,"G"
"587",0.31,0.49,2.7,0.094,16,0.9986,3.12,1.02,10.6,"G"
"588",0.73,0.24,1.9,0.108,18,0.9967,3.26,0.59,9.3,"B"
"589",0.42,0.24,2,0.06,19,0.9917,3.72,0.74,14,"G"
"590",0.29,0.49,2.6,0.059,5,0.9976,3.05,0.74,10.5,"G"
"591",0.45,0.49,2.6,0.084,21,0.9987,3.35,0.57,9.7,"B"
"592",0.39,0.49,1.7,0.07,23,0.9922,3.12,0.5,11.5,"G"
"593",0.45,0.49,2.6,0.084,21,0.9987,3.35,0.57,9.7,"B"
"594",0.49,0.58,3.5,0.094,9,1.0004,3.29,0.58,9,"B"
"595",0.72,0.17,2.6,0.096,20,0.9978,3.4,0.53,9.5,"B"
"596",0.595,0.41,7.9,0.086,30,0.9998,3.27,0.57,9.3,"B"
"597",0.4,0.51,2,0.059,6,0.9994,3.04,0.6,9.3,"G"
"598",0.58,0.58,1.9,0.071,5,0.998,3.09,0.63,10,"G"
"599",0.585,0.18,2.1,0.078,5,0.9967,3.2,0.48,9.8,"G"
"600",0.59,0.45,2.3,0.082,11,1,3,0.7,9.3,"G"
"601",0.915,0.27,2.1,0.088,7,0.9962,3.26,0.47,10,"B"
"602",0.46,0.52,2.2,0.071,12,1.0006,3.1,0.56,9,"G"
"603",0.835,0,2.6,0.081,6,0.9975,3.3,0.52,9.3,"B"
"604",0.46,0.52,2.2,0.071,12,1.0006,3.1,0.56,9,"G"
"605",0.58,0.13,2.9,0.096,14,0.9984,3.17,0.62,9.1,"G"
"606",0.6,0.13,2.6,0.085,6,0.9984,3.31,0.59,9.2,"G"
"607",0.41,0.48,4.6,0.072,10,0.9973,3.34,0.79,12.2,"G"
"608",0.48,0.41,3.3,0.092,26,0.9982,3.31,0.53,10.5,"G"
"609",0.65,0.37,5.1,0.11,11,1.0026,3.32,0.64,10.4,"G"
"610",0.36,0.19,3.2,0.075,15,0.9956,3.56,0.52,12.7,"G"
"611",0.24,0.54,2.5,0.083,25,0.9983,3.39,0.54,9.2,"B"
"612",0.38,0.55,2.7,0.081,5,1.0006,2.98,0.54,9.4,"B"
"613",0.64,0,2.4,0.077,18,0.9965,3.32,0.6,10,"G"
"614",0.39,0.38,1.5,0.058,10,0.9962,3.26,0.74,9.8,"B"
"615",0.755,0.18,2.2,0.148,10,0.9969,2.87,1.36,10.2,"G"
"616",0.6,0.5,2.3,0.079,28,0.9997,3.5,0.57,9.7,"B"
"617",0.6,0.5,2.3,0.079,28,0.9997,3.5,0.57,9.7,"B"
"618",0.31,0.51,2.2,0.079,14,0.9982,3.03,0.93,9.8,"G"
"619",0.46,0.5,2.7,0.122,4,1.0006,3.13,0.7,10.2,"B"
"620",0.37,0.41,2.3,0.088,6,0.9988,3.09,0.8,9.3,"B"
"621",0.54,0.24,3.4,0.076,16,0.9976,3.27,0.61,9.4,"B"
"622",0.56,0.23,3.4,0.078,14,0.9976,3.28,0.62,9.4,"B"
"623",0.58,0.22,1.9,0.08,9,0.9974,3.13,0.55,9.5,"B"
"624",0.51,0.25,2.9,0.077,21,0.9974,3.49,0.96,12.1,"G"
"625",0.69,0,5.6,0.124,21,0.9997,3.46,0.72,10.2,"B"
"626",0.69,0,5.6,0.124,21,0.9997,3.46,0.72,10.2,"B"
"627",0.6,0.29,2.2,0.098,5,0.9988,3.36,0.49,9.1,"B"
"628",0.6,0.29,2.2,0.098,5,0.9988,3.36,0.49,9.1,"B"
"629",0.54,0.26,2.5,0.097,7,0.9976,3.27,0.6,9.3,"G"
"630",0.685,0.23,2.3,0.111,20,0.9964,3.21,0.61,9.3,"B"
"631",0.54,0.26,2.5,0.097,7,0.9976,3.27,0.6,9.3,"G"
"632",0.28,0.54,2.7,0.105,5,0.9988,3.25,0.63,9.5,"B"
"633",0.41,0.14,3,0.087,21,0.9964,3.32,0.57,10.5,"G"
"634",0.935,0.22,3.4,0.105,11,1.001,3.43,0.64,11.3,"B"
"635",0.35,0.21,1.9,0.073,46,0.9964,3.27,0.58,9.5,"B"
"636",0.84,0,1.4,0.065,24,0.9954,3.27,0.55,9.7,"B"
"637",0.88,0.28,2.4,0.086,30,0.9979,3.24,0.53,9.4,"B"
"638",0.885,0.27,2.3,0.084,31,0.9978,3.24,0.53,9.4,"B"
"639",0.915,0.12,2.2,0.143,7,0.9964,3.35,0.65,10.2,"G"
"640",0.29,0.35,1.9,0.067,25,0.997,3.18,1.36,10.3,"G"
"641",0.54,0.45,2.3,0.071,16,0.9991,3.39,0.62,9.4,"B"
"642",0.59,0.44,2.3,0.071,21,0.9992,3.46,0.63,9.5,"B"
"643",0.54,0.45,2.3,0.071,16,0.9991,3.39,0.62,9.4,"B"
"644",0.59,0.44,2.3,0.071,21,0.9992,3.46,0.63,9.5,"B"
"645",0.54,0.45,2.3,0.071,16,0.9991,3.39,0.62,9.4,"B"
"646",0.64,0.1,6,0.115,5,0.9984,3.37,0.69,10.1,"G"
"647",0.67,0.05,3.6,0.107,6,0.9972,3.4,0.63,10.1,"B"
"648",0.845,0.01,2.2,0.07,5,0.9967,3.32,0.58,11,"B"
"649",0.48,0.3,2.8,0.066,10,0.9964,3.33,0.67,11.2,"G"
"650",0.42,0.27,8.6,0.068,24,0.9948,3.16,0.57,11.3,"G"
"651",0.43,0.39,2.2,0.106,8,0.9986,2.89,0.5,9.6,"B"
"652",0.88,0.25,2.5,0.104,35,1.001,3.41,0.67,11.2,"B"
"653",0.36,0.65,7.5,0.096,22,0.9976,2.98,0.84,14.9,"B"
"654",0.33,0.59,2.8,0.079,9,0.9976,3.12,0.54,12,"G"
"655",0.47,0.47,2.4,0.074,7,0.9979,3.08,0.46,9.5,"B"
"656",0.55,0.17,2.9,0.087,20,1.0004,3.14,0.61,9.4,"B"
"657",0.43,0.39,2.2,0.106,8,0.9986,2.89,0.5,9.6,"B"
"658",0.5,0.59,1.4,0.073,23,0.998,2.92,0.68,10.5,"G"
"659",0.52,0.07,1.4,0.074,5,0.9973,3.32,0.81,9.6,"G"
"660",0.84,0.02,4.4,0.096,5,0.997,3.41,0.57,11,"B"
"661",0.52,0.07,1.4,0.074,5,0.9973,3.32,0.81,9.6,"G"
"662",0.42,0.31,1.6,0.08,15,0.9978,3.31,0.64,9,"B"
"663",0.57,0.06,1.6,0.076,9,0.9972,3.36,0.7,9.6,"G"
"664",0.28,0.46,1.8,0.05,5,0.9974,3.04,0.79,10.2,"G"
"665",0.4,0.52,2,0.092,15,1,3.03,0.66,10.2,"B"
"666",0.59,0.14,2,0.084,25,0.9981,3.14,0.56,9.7,"B"
"667",0.49,0.36,1.8,0.222,6,0.998,3.18,0.6,9.5,"G"
"668",0.34,0.45,2,0.082,6,0.9988,2.94,0.66,9.2,"G"
"669",0.73,0.43,2.3,0.059,15,0.9966,3.15,0.57,11,"B"
"670",0.34,0.45,2,0.082,6,0.9988,2.94,0.66,9.2,"G"
"671",0.4,0.24,2.5,0.083,30,0.9959,3.26,0.58,10,"B"
"672",0.73,0.21,1.7,0.074,5,0.9968,3.2,0.52,9.5,"B"
"673",1.24,0.34,2,0.079,32,0.998,3.15,0.53,9.5,"B"
"674",0.73,0.21,1.7,0.074,5,0.9968,3.2,0.52,9.5,"B"
"675",0.4,0.41,2.2,0.084,7,0.9984,3.08,0.67,9.3,"G"
"676",0.41,0.39,2.2,0.064,12,0.9984,3.26,0.65,10.2,"B"
"677",0.4,0.41,2.2,0.084,7,0.9984,3.08,0.67,9.3,"G"
"678",0.8,0.11,2.3,0.084,12,0.9979,3.4,0.48,9.9,"B"
"679",0.78,0.1,2.6,0.081,45,0.9983,3.48,0.53,10,"B"
"680",0.26,0.45,3.3,0.06,20,0.9972,3.13,0.54,9.6,"B"
"681",0.43,0.58,1.9,0.07,15,1.0004,3.06,0.49,9,"B"
"682",0.45,0.23,2.2,0.094,16,0.9962,3.21,0.49,10.2,"G"
"683",0.46,0.31,2.25,0.078,32,0.998,3.33,0.54,9.8,"B"
"684",0.78,0.23,2.6,0.059,5,0.997,3.37,0.56,11.3,"B"
"685",0.98,0.32,2.3,0.078,35,0.998,3.25,0.48,9.4,"B"
"686",0.78,0.23,2.6,0.059,5,0.997,3.37,0.56,11.3,"B"
"687",0.65,0.18,1.8,0.07,13,0.997,3.44,0.6,9.1,"B"
"688",0.64,0.23,3.1,0.095,13,0.9998,3.28,0.59,9.7,"B"
"689",0.66,0.04,1.6,0.039,4,0.9962,3.4,0.47,9.4,"B"
"690",0.38,0.48,1.8,0.157,5,0.9976,3.3,1.05,9.4,"B"
"691",1.185,0,4.25,0.097,5,0.9966,3.63,0.54,10.7,"B"
"692",0.92,0.24,2.6,0.087,12,0.9998,3.48,0.54,9.8,"B"
"693",0.49,0.51,2,0.422,16,0.9979,3.03,1.17,9,"B"
"694",0.48,0.32,2.8,0.084,21,0.9984,3.32,0.62,9.4,"B"
"695",0.47,0.31,2.7,0.084,24,0.9984,3.31,0.61,9.4,"B"
"696",0.47,0.02,1.3,0.034,18,0.9921,3.9,0.62,12.8,"G"
"697",0.65,0.02,2.1,0.066,8,0.9972,3.47,0.67,9.5,"G"
"698",0.65,0.02,2.1,0.066,8,0.9972,3.47,0.67,9.5,"G"
"699",0.615,0.28,3.2,0.087,18,1.0001,3.31,0.53,9.7,"B"
"700",0.38,0.55,2.1,0.071,5,0.9986,3.11,0.62,10.8,"G"
"701",1.02,0.43,2.9,0.076,26,0.9984,3.08,0.57,10.1,"G"
"702",0.65,0.02,2.1,0.066,8,0.9972,3.47,0.67,9.5,"G"
"703",0.64,0.02,2.1,0.067,9,0.997,3.47,0.67,9.4,"G"
"704",0.38,0.48,2.6,0.073,22,0.9972,3.32,0.7,9.6,"B"
"705",0.765,0.04,1.6,0.078,4,0.998,3.29,0.54,9.7,"B"
"706",1.035,0.15,6,0.073,11,0.999,3.37,0.49,9.9,"B"
"707",0.78,0.08,2,0.093,10,0.9956,3.4,0.47,10,"B"
"708",0.49,0.19,3,0.077,16,0.9966,3.37,0.51,10.5,"B"
"709",0.545,0.12,2.5,0.068,11,0.996,3.34,0.61,11.6,"G"
"710",0.31,0.47,1.6,0.062,13,0.9983,3.27,0.66,10,"G"
"711",1.025,0.43,2.8,0.08,21,0.9985,3.06,0.57,10.1,"B"
"712",0.565,0.34,3,0.093,16,0.9998,3.38,0.61,9.5,"B"
"713",0.69,0,3.2,0.084,13,0.9992,3.36,0.45,9.4,"B"
"714",0.43,0.36,2.3,0.075,10,0.9976,3.34,0.46,9.4,"B"
"715",0.74,0.28,2.6,0.078,21,0.998,3.28,0.51,9.8,"B"
"716",0.49,0.18,2.7,0.069,13,0.9967,3.29,0.48,9.2,"G"
"717",0.43,0.36,2.3,0.075,10,0.9976,3.34,0.46,9.4,"B"
"718",0.46,0.11,2.6,0.079,12,0.9968,3.21,0.57,10,"B"
"719",0.56,0.04,2,0.082,10,0.9976,3.22,0.44,9.6,"B"
"720",0.66,0,3.9,0.086,17,0.9976,3.46,0.54,9.5,"B"
"721",0.56,0.04,2,0.082,10,0.9976,3.22,0.44,9.6,"B"
"722",0.48,0.24,2.85,0.094,35,0.9982,3.1,0.53,9.2,"B"
"723",0.42,0.08,2.7,0.084,15,0.9968,3.21,0.59,10,"B"
"724",0.31,0.3,2.2,0.053,36,0.9965,2.94,1.62,9.5,"B"
"725",1.115,0.1,3.1,0.086,5,0.9958,3.54,0.6,11.2,"B"
"726",0.66,0.17,3,0.077,5,0.9976,3.29,0.55,10.4,"B"
"727",0.72,0.09,2.8,0.084,18,0.9994,3.43,0.72,11.1,"G"
"728",0.57,0.02,1.8,0.067,4,0.997,3.46,0.68,9.5,"B"
"729",0.57,0.02,1.8,0.067,4,0.997,3.46,0.68,9.5,"B"
"730",0.865,0.03,3.2,0.071,27,0.995,3.61,0.49,12.7,"G"
"731",0.55,0.66,2.3,0.387,12,0.9982,3.17,0.67,9.6,"B"
"732",0.875,0.13,3.45,0.088,4,0.9994,3.44,0.52,11.5,"B"
"733",0.835,0.03,2.1,0.092,10,0.9966,3.39,0.47,9.6,"B"
"734",0.45,0.34,2.7,0.082,16,0.998,3.55,0.6,9.5,"B"
"735",0.56,0.2,2,0.075,9,0.9987,3.48,0.62,9.3,"B"
"736",0.965,0.1,2.1,0.112,11,0.9963,3.26,0.5,9.5,"B"
"737",0.965,0.1,2.1,0.112,11,0.9963,3.26,0.5,9.5,"B"
"738",0.59,0,2.5,0.093,19,1.0002,3.5,0.65,9.3,"G"
"739",0.46,0.23,2.8,0.092,28,0.9983,3.1,0.56,9.2,"B"
"740",0.69,0,2.4,0.088,19,0.999,3.35,0.6,9.3,"B"
"741",0.76,0.29,4.2,0.075,12,0.9965,3.45,0.68,11.5,"G"
"742",0.53,0.24,2.6,0.078,28,0.99788,3.21,0.57,9.5,"B"
"743",0.615,0,1.9,0.065,9,0.9972,3.46,0.65,9.2,"B"
"744",0.41,0.58,2.8,0.096,25,1.00024,3.13,0.53,10,"B"
"745",0.39,0.54,2.7,0.095,21,1.0001,3.13,0.51,9.5,"B"
"746",0.51,0.18,2.1,0.07,12,0.99768,3.52,0.73,9.5,"G"
"747",0.34,0.38,2.5,0.08,12,0.9978,3.3,0.47,9,"G"
"748",0.33,0.4,2.6,0.083,16,0.99782,3.3,0.48,9.4,"B"
"749",0.5,0.18,2.1,0.071,12,0.99761,3.52,0.72,9.6,"G"
"750",0.51,0.18,2.1,0.07,12,0.99768,3.52,0.73,9.5,"G"
"751",0.65,0.1,2.9,0.089,17,0.99803,3.29,0.55,9.5,"B"
"752",0.65,0.1,2.9,0.089,17,0.99803,3.29,0.55,9.5,"B"
"753",0.54,0.13,2.5,0.097,24,0.99785,3.39,0.61,9.4,"B"
"754",0.65,0.1,2.9,0.089,17,0.99803,3.29,0.55,9.5,"B"
"755",0.48,0.68,1.7,0.415,14,0.99656,3.09,1.06,9.1,"G"
"756",0.91,0.07,1.9,0.058,22,0.99525,3.51,0.43,10.7,"G"
"757",0.98,0.01,2,0.057,15,0.99488,3.6,0.46,11.2,"G"
"758",0.87,0,2.2,0.084,10,0.99656,3.25,0.5,9.8,"B"
"759",0.87,0,2.2,0.084,10,0.99656,3.25,0.5,9.8,"B"
"760",0.42,0.21,2.5,0.092,33,0.99823,3.19,0.52,9.2,"B"
"761",0.58,0.25,2.8,0.075,9,0.99779,3.23,0.57,9.7,"B"
"762",0.655,0.26,2,0.096,5,0.99738,3.25,0.42,9.6,"B"
"763",0.7,0,1.7,0.069,8,0.99701,3.31,0.53,10,"G"
"764",0.655,0.26,2,0.096,5,0.99738,3.25,0.42,9.6,"B"
"765",0.68,0.11,2.8,0.093,11,0.99888,3.31,0.55,9.5,"G"
"766",0.67,0.1,3,0.091,12,0.99888,3.31,0.54,9.5,"G"
"767",0.59,0.18,2.9,0.089,12,0.99738,3.14,0.54,9.4,"B"
"768",0.6,0.32,2.7,0.103,13,0.99938,3.45,0.62,9.5,"B"
"769",0.59,0.02,2.3,0.082,24,0.99744,3.55,0.53,9.7,"G"
"770",0.72,0.01,1.9,0.076,7,0.99668,3.39,0.54,9.6,"B"
"771",0.59,0.02,2.3,0.082,24,0.99744,3.55,0.53,9.7,"G"
"772",0.685,0.26,2.4,0.082,23,0.9978,3.28,0.55,9.4,"B"
"773",0.57,0.27,2.3,0.082,23,0.99782,3.27,0.55,9.4,"B"
"774",0.4,0.29,1.8,0.157,1,0.9973,3.3,0.92,9.5,"G"
"775",0.4,0.3,1.8,0.157,2,0.99727,3.31,0.91,9.5,"G"
"776",1,0,3,0.102,7,0.99586,3.43,0.46,10,"B"
"777",0.765,0.18,2.4,0.243,5.5,0.99612,3.4,0.6,10.3,"G"
"778",0.635,0.17,2.4,0.241,6,0.9961,3.4,0.59,10.3,"G"
"779",0.43,0.3,3.4,0.079,7,0.99788,3.36,0.61,10.5,"B"
"780",0.52,0.03,2.6,0.076,21,0.99745,3.5,0.6,9.8,"B"
"781",0.57,0,2,0.19,12,0.99676,3.31,0.6,9.4,"G"
"782",0.46,0.14,2.4,0.114,9,0.99732,3.66,0.65,9.8,"B"
"783",0.82,0.05,2.4,0.081,26,0.99814,3.36,0.53,10,"B"
"784",0.46,0.14,2.4,0.114,9,0.99732,3.66,0.65,9.8,"B"
"785",0.59,0.01,2.5,0.077,20,0.99746,3.55,0.59,9.8,"B"
"786",0.35,0.41,2.3,0.083,11,0.9982,3.21,0.5,9.5,"B"
"787",0.35,0.41,2.3,0.083,11,0.9982,3.21,0.5,9.5,"B"
"788",0.56,0.24,2.2,0.079,19,0.9991,3.18,0.56,10.1,"G"
"789",0.56,0.24,2.2,0.079,19,0.9991,3.18,0.56,10.1,"G"
"790",0.63,0.17,2.9,0.099,21,0.998,3.09,0.52,9.3,"B"
"791",0.37,0.43,2.6,0.082,18,0.99708,3.33,0.68,9.7,"G"
"792",0.64,0.17,2.9,0.084,25,0.99818,3.23,0.54,9.6,"B"
"793",0.61,0.02,2.5,0.081,17,0.99745,3.48,0.6,9.7,"G"
"794",0.6,0,2.6,0.055,7,0.99639,3.38,0.56,10.8,"B"
"795",0.27,0.54,2.3,0.065,7,0.99531,3.17,0.53,12.5,"G"
"796",0.89,0.3,2.6,0.132,7,0.99786,2.99,1.18,10.2,"B"
"797",0.46,0.31,2.5,0.126,24,0.99746,3.1,0.74,9.6,"B"
"798",0.37,0.44,1.6,0.038,21,0.99526,3.24,0.81,10.8,"G"
"799",0.5,0.34,3.6,0.082,5,0.9987,3.29,0.52,10.7,"G"
